ph_final,viscosity_cp,conductivity_ms_cm,density_g_ml,turbidity_ntu,reaction_temp_c,reaction_time_min,active_conc_mg_ml,f1_active_reagent,f2_solvent_salts,f3_agitation_kinetics
6.67,177.96,5.15,1.199,35.27,46.69,40.61,106.01,0.3047,-0.5663,1.249
7.13,111.83,3.74,1.174,22.77,45.44,40.2,81.67,-1.04,-0.6246,0.6877
7.5,233.13,9.34,1.225,43.18,48.65,47.55,121.06,0.7505,1.3251,1.9661
6.82,174.99,6.24,1.213,17.81,41.57,27.14,119.57,0.9406,0.3303,-1.5478
7.31,50,6.1,1.173,17.37,43.76,33.05,65.27,-1.951,-0.2117,-0.2654
7.63,102.51,7.23,1.196,20.95,43.31,36.32,79.39,-1.3022,0.4987,-0.4625
5.88,92.39,0.1,1.183,6.12,38.72,20.61,95.1,0.1278,-2.1072,-1.9737
7.09,135.76,5.79,1.192,35.4,47.62,40.14,95.56,-0.3162,-0.0431,1.0603
7.8,162.99,10.77,1.21,34.11,45.34,33.04,103.47,-0.0168,1.9975,-0.2704
7.4,133.23,6.36,1.182,30.43,47.12,40.65,82.8,-0.853,0.1323,0.7396
7.03,201.56,6.87,1.22,43.05,49.67,46.88,113.01,0.8794,0.0679,2.3598
7,189.75,6.51,1.213,29.26,45.32,32.67,119.51,0.7778,0.5481,-0.3532
7.45,164.44,8.38,1.208,27,44.7,32.55,109.73,0.066,0.8956,-0.4212
5.77,177.46,0.57,1.2,21.08,41.88,33.78,105.79,1.1272,-1.9975,0.1187
6.23,156.27,2.16,1.196,22.46,44.76,36.25,106.38,0.4675,-1.6823,0.9872
7.33,97.48,6.62,1.188,10.14,43.67,27.61,85.63,-0.8593,0.2103,-0.5667
6.59,160.45,4.3,1.197,20.19,43.84,31.73,106.82,0.3688,-0.7149,-0.631
7.92,122.49,9.82,1.199,33.69,45.83,37.9,89.51,-0.9589,1.312,1.0572
6.65,200.44,5.21,1.208,25.49,45.76,38.48,118.87,0.8785,-0.3152,0.3786
5.8,96,0.1,1.178,8.87,38.94,24.94,91.99,-0.0499,-1.9345,-2.0447
6.27,110.39,1.19,1.186,12.49,42.04,26.66,87.51,-0.1849,-1.268,-1.2254
6.11,97.29,0.1,1.163,29.93,45.49,43.11,76.43,-0.6809,-2.7497,1.5012
6.62,200.83,5.32,1.225,33.48,46.72,36.93,122.62,1.2225,-0.2341,0.4019
6.88,137.87,5.64,1.198,14.22,44.39,33.82,95.82,-0.1545,-0.1884,-0.7622
6.98,110.03,4.73,1.194,22.65,44.64,32.73,92.57,-0.4283,-0.4245,-0.1704
7.48,152.89,9.66,1.201,29.6,46.41,31.42,97.78,-0.3521,1.0789,0.0132
7.46,195.38,8.87,1.222,33.68,47.06,40.09,112.59,0.5323,1.1985,0.7357
6.71,134.81,5.39,1.201,10.67,45.12,30.78,102.64,0.3654,-0.1704,-1.3583
5.8,142.8,0.46,1.186,14.76,41.06,29.31,97.71,0.4127,-2.1347,-0.8409
7.31,151.07,8.39,1.215,26.48,45.62,36.09,110.84,0.4308,0.6173,0.273
6.78,243.88,6.62,1.238,39.02,46.88,35.66,134.89,2.1416,0.5554,-0.0998
7.32,164.85,6.71,1.207,26.68,46.76,40.4,91.58,-0.4064,0.3094,0.5719
7.59,138.16,7.71,1.208,24.19,43.71,29.05,88.72,-0.5122,0.9815,-1.2295
6.6,115.84,4.06,1.181,12.25,45.11,41.05,78.84,-0.8138,-1.1648,0.3571
7.86,207.48,11.47,1.232,41.67,46.74,41.98,122.71,0.616,2.0088,1.0916
6.36,185.24,3.49,1.214,35.76,47.09,38.72,112.93,1.129,-0.9594,0.4868
7.31,151.39,9.57,1.2,24.2,45.55,38.04,103.06,-0.1139,0.7492,0.1391
6.47,104.61,2.01,1.176,15.27,44.43,31.39,86.67,-0.8402,-1.6873,-0.0959
6.62,85.51,3.01,1.174,11.46,40.69,28.63,85.8,-0.8245,-0.9303,-0.8349
7.57,199.2,9.64,1.223,28.91,46.42,38.16,118.18,0.6506,1.5164,-0.072
6.91,221.61,4.86,1.211,36.99,46.87,41.96,114.91,0.7433,-0.2609,1.2597
7.25,177.6,7.8,1.221,23.68,46.11,35.86,109.03,0.5432,0.8399,-0.119
7.04,96.27,6.44,1.188,16.38,43.58,27.07,84.25,-0.6655,0.237,-0.8898
6.77,134.72,5.27,1.2,24.23,44.46,33.5,103.85,0.2322,-0.105,-0.4922
7.65,180.64,8.85,1.216,30.1,45.41,38.04,108.75,0.1167,1.3639,0.2009
6.8,150.06,6.04,1.2,18.55,44.2,32.58,106.27,0.2187,-0.2367,-0.3735
5.81,184.85,1.36,1.199,30.66,44.81,36.61,106.86,0.8714,-1.7807,0.4853
6.73,152.35,3.84,1.209,30.07,45.91,36.25,101.39,0.2236,-0.8032,0.5228
7.18,205.97,7.79,1.217,31.43,48.15,39.26,114.9,0.6789,0.5512,0.889
7.24,176.11,7.53,1.202,31.25,48,42.74,102.4,0.0676,0.3955,1.4236
6.4,152.04,2.18,1.183,24.62,44.66,37.98,98.72,0.2891,-1.5671,0.9959
6.37,149.18,4.08,1.201,20.99,43.16,33.5,105.9,0.6313,-0.7243,-0.9342
6.96,57.98,4.81,1.169,12.2,44.73,31.27,72.28,-1.4572,-0.5817,-0.9035
6.94,156.29,5.47,1.193,25.25,45.96,32.28,93.37,-0.3197,-0.3655,-0.0758
6.6,109.5,2.85,1.181,14.53,40.36,35.22,84.71,-0.4704,-1.3759,-0.4512
6.89,108.82,4.41,1.182,8.89,42.31,27.25,87.98,-0.6389,-0.6284,-1.1383
6.73,118.64,3.99,1.197,22.3,44.42,31.9,95.22,-0.2751,-0.7286,-0.4417
6.96,197.77,8.23,1.227,27.76,45.12,34.96,132.03,1.4949,0.7715,-0.4745
7.58,110.57,7.99,1.195,20.01,43.6,28.17,84.52,-0.8658,0.8091,-0.6718
6.56,195.75,5.46,1.216,20.03,44.48,32.64,117.14,0.9683,-0.1458,-0.3158
7.41,90.19,5.93,1.174,23.06,46.67,39.94,65.41,-1.6829,-0.392,1.1785
7.11,130.55,6.2,1.201,29.51,44.29,36.65,94.82,-0.3349,0.1399,0.1992
6.86,187.29,3.92,1.196,37.64,50.01,48.52,96.94,0.1628,-0.8166,2.4718
6.34,170.53,2.7,1.202,28.36,44.69,34.64,109.8,0.5862,-1.1468,0.1705
6.41,184.41,3.04,1.199,13.67,43.26,32.22,111.39,0.7112,-0.9402,-0.2901
6.53,179.69,3.38,1.209,24.06,45.89,36.52,115.2,0.7933,-0.6348,0.0041
6.34,135.99,2.81,1.187,21.22,43.12,35.85,92.22,-0.3487,-1.1635,0.2565
7.25,148.29,6.78,1.201,33.65,45.21,37.64,91.51,-0.4624,0.1621,0.4353
7.37,208.93,8.69,1.213,40.48,49.08,47.45,117.09,0.858,0.7297,2.0767
6.28,102.24,2.04,1.178,16.24,44.22,32.44,95.43,-0.1913,-1.5871,-0.8453
7.41,99.1,5.32,1.184,30.21,45.44,40.1,76.64,-1.2757,0.0251,0.859
7.34,89.6,6.13,1.17,18.38,42.83,34.89,74.66,-1.1333,-0.2199,0.2078
7.25,102.62,6.57,1.192,9.85,41.52,22.88,87.84,-0.9195,0.3415,-1.5711
6.98,184.8,6.2,1.212,32.91,46.99,36.36,109.33,0.4972,-0.0129,0.7707
6.52,161.13,2.42,1.185,24.16,47.03,39.58,101.27,0.1424,-1.4536,1.2676
6.2,121.03,2.24,1.196,16.15,44.9,28.81,108.11,0.6905,-1.2624,-0.8572
7.05,157.74,6.15,1.19,28.42,46.1,33.87,92.37,-0.4273,0.0294,-0.0089
